Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
7/24/1998,41.19,42.12,40,40.31,13116500,0,1,30.27137704,30.95485314,29.3968216,29.62464697,13116500
7/23/1998,44,44,40.06,41.19,27589500,0,1,32.33650376,32.33650376,29.44091683,30.27137704,27589500
7/22/1998,48.19,48.44,47.44,47.75,2888100,0,1,35.41582082,35.59955096,34.86463042,35.09245578,2888100
7/21/1998,49.25,49.25,47.62,48.19,3586000,0,1,36.19483659,36.19483659,34.99691611,35.41582082,3586000
7/20/1998,50,50,48.62,49.25,2741400,0,1,36.746027,36.746027,35.73183665,36.19483659,2741400
7/17/1998,48.75,50.12,48.69,50,3247600,0,1,35.82737632,36.83421746,35.78328109,36.746027,3247600
7/16/1998,49.31,49.69,48.5,48.75,2887500,0,1,36.23893183,36.51820163,35.64364619,35.82737632,2887500
7/15/1998,48.62,49.69,48.62,49.31,4386300,0,1,35.73183665,36.51820163,35.73183665,36.23893183,4386300
7/14/1998,47.56,48.69,47.31,48.5,2787600,0,1,34.95282088,35.78328109,34.76909075,35.64364619,2787600
7/13/1998,47.88,48.44,47.19,47.56,1990500,0,1,35.18799545,35.59955096,34.68090028,34.95282088,1990500
7/10/1998,48.06,48.38,47.12,47.88,1993500,0,1,35.32028115,35.55545572,34.62945584,35.18799545,1993500
7/9/1998,48.69,48.69,47.88,48.06,1716700,0,1,35.78328109,35.78328109,35.18799545,35.32028115,1716700
7/8/1998,47.81,48.75,47.81,48.69,2396000,0,1,35.13655102,35.82737632,35.13655102,35.78328109,2396000
7/7/1998,48.62,49.25,47.69,47.81,2810700,0,1,35.73183665,36.19483659,35.04836055,35.13655102,2810700
7/6/1998,48.56,49.44,48.56,48.62,3234200,0,1,35.68774142,36.3344715,35.68774142,35.73183665,3234200
7/2/1998,47.44,49.25,47.06,48.44,5158100,0,1,34.86463042,36.19483659,34.58536061,35.59955096,5158100
7/1/1998,45.25,47.5,45.25,47.44,5321700,0,1,33.25515443,34.90872565,33.25515443,34.86463042,5321700
6/30/1998,44.62,45,44.12,44.56,2594700,0,1,32.79215449,33.0714243,32.42469422,32.74805926,2594700
6/29/1998,45.69,45.75,44.38,44.62,3031700,0,1,33.57851947,33.6226147,32.61577356,32.79215449,3031700
6/26/1998,45.12,46.12,45.12,45.69,2761500,0,1,33.15961476,33.8945353,33.15961476,33.57851947,2761500
6/25/1998,44.69,45.5,44.56,44.62,3365000,0,1,32.84359893,33.43888457,32.74805926,32.79215449,3365000
6/24/1998,43.38,44.69,43.31,44.69,3662500,0,1,31.88085302,32.84359893,31.82940859,32.84359893,3662500
6/23/1998,42.75,43.44,42.75,43.38,3964100,0,1,31.41785308,31.92494826,31.41785308,31.88085302,3964100
6/22/1998,42.94,43.94,42.12,42.75,3343500,0,1,31.55748799,32.29240853,30.95485314,31.41785308,3343500
6/19/1998,43.88,43.88,42.56,42.94,5569000,0,1,32.24831329,32.24831329,31.27821818,31.55748799,5569000
6/18/1998,43.75,44.25,43.25,43.94,3247900,0,1,32.15277362,32.52023389,31.78531335,32.29240853,3247900
